################################################################################
## This is the redshift list for BAT-detected GRBs.
## Columns are:
## GRBname: GRB name
## z: GRB redshift
## Method: The mothod for how the redshift is determined:
##         "ba": spectroscopic measurement from absorption lines;
##         "he": spectroscopic measurement from host galaxy;
##         "bp": photometric redshift;
##         "hp": photometric redshift from host galaxy.
## Uncertainty (mostly for photo-z): The uncertainty for the photometric redshift;
##                                   the numbers quoted directly from the reference,
##                                   and might refer to different confidence ranges.
## Ref.: References of the GRB redshift measurements.
##       If there are more than one references presented,
##       The reference marked with "*" is the one related
##        to the value presented in this table.
################################################################################
## GRBname | z | Method | Uncertainty (when available; mostly for photo-z) | Ref.
GRB151111A  |    3.5      | bp |    +0.3 -0.3    |    'Bolmer et al. GCN Circ. 18598 (GROND)'   
GRB151031A  |    1.167    | ba |    N/A    |    'Malesani et al. GCN Circ. 18540 (VLT/X-shooter)'   
GRB151029A  |    1.423    | ba |    N/A    |    'Tanvir et al. GCN Circ. 18524 (VLT/X-shooter)'   
GRB151027B  |    4.063    | ba |    N/A    |    'Xu et al. GCN Circ. 18505 (VLT/X-shooter)'   
GRB151027A  |    0.810    | ba |    N/A    |    'Perley et al. GCN Circ. 18487 (Keck); Zhang et al. GCN Circ. 18493 (GMG)'   
GRB151021A  |    2.330    | ba |    N/A    |    'de Ugarte Postigo et al. GCN Circ. 18426 (VLT/X-shooter)'   
GRB150915A  |    1.968    | ba |    N/A    |    'D'Elia et al. GCN Circ. 18318 (VLT/X-shooter)'   
GRB150910A  |    1.360    | ba |    N/A    |    'Zheng et al. GCN Circ. 18273 (Lick); *de Ugarte Postigo et al. GCN Circ. 18274 (GTC)'   
GRB150821A  |    0.755    | ba |    N/A    |    'D'Elia et al. GCN Circ. 18187 (VLT/X-shooter)'   
GRB150818A  |    0.282    | he |    N/A    |    'Sanchez-Ramirez et al. GCN Circ. 18177 (GTC)'   
GRB150727A  |    0.313(?)    | he |   N/A   |    "Tanvir et al. GCN Circ. 18080 (VLT/X-shooter)"   
GRB150424A  |    0.3(ref 1) or >0.7 (ref 2) (?) or 1.0? (ref 3)     | he |    N/A    |    "ref 1: Castro-Tirado et al. GCN Circ. 17758 (GTC); ref 2: Tanvir et al. GCN Circ. 18100 (HST); Ref3: Knust et al. (2017)"   
GRB150423A  |    1.394(?)    | ba |    N/A    |    "Malesani et al. GCN Circ. 17755 (X-shooter)"   
GRB150413A  |    3.139      | ba |    +0.003 -0.003    |    "Sanchez-Ramirez et al. GCN Circ. 17697 (CAHA); Tomasellla et al. ATEL 7391; *de Ugarte Postigo et al. GCN Circ. 17710 (MASTER)"   
GRB150403A  |    2.06       | ba |    N/A     |    "Pugliese et al. GCN Circ. 17672 (VLT/X-shooter)"   
GRB150323A  |    0.593    | ba |    N/A     |    "Perley et al. GCN Circ. 17616 (Keck)"   
GRB150314A  |    1.758      | ba |    N/A     |    "de Ugarte Postigo et al. GCN Circ. 17583 (OSIRS/GTC)"       
GRB150301B  |    1.5169     | ba |    N/A     |    "de Ugarte Postigo et al. GCN Circ. 17523 (VLT/X-shooter)"   
GRB150206A  |     2.087     | ba |    N/A     |     "de Ugarte Postigo et al. GCN 17198 (VLT/x-shooter)"   
GRB150120A  |    0.460     | ba |    N/A    |    "Chornock et al. GCN Circ. 17358 (Gemini-N)"   
GRB150101B  |    0.1343     | ba |    +0.003 -0.003    |    "Levan et al. GCN Circ. 17281 (VLT); *Fong et al. (2016; arXiv:1608.08626)"   
GRB141225A  |      0.915      | ba |      N/A      |      "Gorosabel et al. GCN Circ. 17234 (GTC)"     
GRB141221A  |    1.452(?)    | ba |    N/A    |    "Perley et al. GCN Circ. 17228 (Keck)"   
