################################################################################
## This is the redshift list for BAT-detected GRBs.
## Columns are:
## GRBname: GRB name
## z: GRB redshift
## Method: The mothod for how the redshift is determined:
##         "ba": spectroscopic measurement from absorption lines;
##         "he": spectroscopic measurement from host galaxy;
##         "bp": photometric redshift;
##         "hp": photometric redshift from host galaxy.
## Uncertainty (mostly for photo-z): The uncertainty for the photometric redshift;
##                                   the numbers quoted directly from the reference,
##                                   and might refer to different confidence ranges.
## Ref.: References of the GRB redshift measurements.
##       If there are more than one references presented,
##       The reference marked with "*" is the one related
##        to the value presented in this table.
################################################################################
## GRBname | z | Method | Uncertainty (when available; mostly for photo-z) | Ref.
GRB061210  |    0.4095    | he |     N/A     |    "Cenko S.B. et al. GCN Circ. 5946; *Berger E. et al. ApJ 664 1000 (2007)"   
GRB061201  |    0.0865 (ref 1) or 0.111 (ref 2) (?)    | he |    N/A    |    "Ref 1: Blondin et al. GCN Circ. 5944; Ref 2: Berger et al. GCN Circ. 5952"   
GRB061126  |    1.1588    | he |     N/A     |    "Perley D.A. et al. ApJ 672 449 (2008)"   
GRB061121  |    1.3145    | ba |     N/A     |    "Bloom J.S. et al. GCN Circ. 5826; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB061110B  |    3.4344    | ba |     N/A     |    "Fynbo J.P.U. et al. GCN Circ. 5809; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB061110A  |    0.7578    | ba |     N/A     |    "Thoene C.C. et al. GCN Circ. 5812; Fynbo J.P.U. et al. GCN Circ. 6759; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB061021  |    0.3463    | ba |     N/A     |    "*Fynbo J.P.U. et al. ApJS 185 526 (2009); Jakobsson P. et al. ApJ 752 62 (2012) "   
GRB061007  |    1.2622    | ba |     N/A     |    "Osip D. et al. GCN Circ. 5715; Jakobsson P. et al. GCN Circ. 5716; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB061006  |    0.4377    | he |     N/A     |    "*Berger E. et al. ApJ 664 1000 (2007); D'Avanzo P. et al. A&A 498 711 (2009)"   
GRB060927  |    5.4636    | ba |     N/A     |    "Fynbo J.P.U. et al. GCN Circ. 5651; Ruiz-Velasco A.E. et al. ApJ 669 1 (2007); *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB060926  |    3.2086    | ba |     N/A     |    "Piranomonte S. et al. GCN Circ. 5626; D'Elia V. et al. GCN Circ. 5637; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB060923A  |    2.47    |   hp   |    +0.33 -0.52    |    "Perley D.A. et al. ApJ 778 128 (2013); *Schulze et al. ApJ 808 73 (2015)"   
GRB060923B  |    1.51    | he |     N/A     |    "Krühler et al. A&A 581 A125 (2015); *Schulze et al. ApJ 808 73 (2015)"   
GRB060912A  |    0.937    | he |     N/A     |    "Jakobsson P. et al. GCN Circ. 5617;  *Levan A.J. et al. MNRAS 378 1439 (2007)"   
GRB060908  |    1.8836    | ba |    N/A     |    "*Fynbo J.P.U. et al. ApJS 185 526 (2009); Jakobsson P. et al. ApJ 752 62 (2012)"   
GRB060906  |    3.6856    | ba |     N/A     |   "Vreeswijk P. et al. GCN Circ. 5535; Jakobsson P. et al. A&A 460 L13 (2006); *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB060904B  |    0.7029    | ba |     N/A     |    "Fugazza D. et al. GCN Circ. 5513; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB060904A  |    2.55    |   hp   |    1.21 -0.75     |    "Xiao L. & Schaefer B.E. ApJ 731 103 (2011)"   
GRB060814  |    1.9229    | he |    N/A    |    "Salvaterra R. et al. ApJ 749 68 (2012); Jakobsson P. et al. ApJ 752 62 (2012); *Kruehler T. et al. ApJ 758 46 (2012)"   
GRB060805A  |    2.3633(?)    | he |    N/A    |    "Krühler et al. A&A 581 A125 (2015)"   
GRB060801  |    1.1304    | he |     N/A     |    "Cucchiara A. et al. GCN Circ. 5470; *Berger E. et al. ApJ 664 1000 (2007)"   
GRB060729  |    0.5428    | ba |     N/A     |    "Thoene C.C. et al. GCN Circ. 5373; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB060719  |    1.5320    | he |     N/A     |    "Kruehler T. et al. ApJ 758 46 (2012)"   
GRB060714  |    2.7108    | ba |     N/A     |    "Jakobsson P. et al. GCN Circ. 5320; Jakobsson P. et al. A&A 460 L13 (2006); *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB060708  |    1.92    |   hp   |    +0.12 -0.12     |    "Oates S. R. et al. MNRAS 395 490 (2009); *Schulze et al. ApJ 808 73 (2015)"   
GRB060707  |    3.4240    | ba |     N/A     |   "Jakobsson P. et al. GCN Circ. 5298; Jakobsson P. et al. A&A 460 L13 (2006); *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB060614  |    0.1254    | he |     N/A     |    "Price P.A. et al. GCN Circ. 5275; Fugazza D. et al. GCN Circ. 5276; *Della Valle M. et al. Nature 444 1050 (2006)"   
GRB060607A  |    3.0749    | ba |     N/A     |    "Ledoux C. et al. GCN Circ. 5237; *Fox A.J. et al. A&A 491 189 (2008); *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB060605  |    3.773    | ba |     N/A     |    "Peterson B. & Schmidt B. GCN Circ. 5223; Still M. et al. GCN Circ. 5226; Savaglio S. et al. GCN Circ. 6166; *Ferrero P. et al. A&A 497 729 (2009)"   
GRB060604  |    2.1357    | he |    N/A      |    "Kruehler T. et al. ApJ 758 46 (2012)"   
GRB060602A  |    0.787    | he |    N/A     |   "Jakobsson P. et al. GCN Circ. 6997"   
GRB060526  |    3.2213    | ba |     N/A     |    "Berger E. & Gladders M. GCN Circ. 5170; Jakobsson P. et al. A&A 460 L13 (2006); *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB060522  |    5.11    | ba |     N/A     |    "Cenko S.B. et al. GCN Circ. 5155"   
GRB060512  |    2.1    | ba |    N/A     |    "Starling R. et al. GCN Circ. 5149; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB060510B  |    4.941    | ba |    N/A    |   "Price P.A. et al. GCN Circ. 5104; *Price P.A. et al. ApJ 663 L57 (2007)"   
GRB060505  |    0.0889    | he |     N/A     |    "Thoene C.C. et al. GCN Circ. 5161; Ofek E.O. et al. ApJ 662 1129 (2007); *Theone C.C. et al. ApJ 676 1151 (2008)"   
GRB060502B  |    0.287    | he |     N/A     |    "Bloom J.S. et al. GCN Circ. 5238; *Bloom J.S. et al. ApJ 654 878 (2007)"   
GRB060502A  |    1.5026    | ba |     N/A     |    "Cucchiara A. et al. GCN Circ. 5052; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB060428B  |    0.348    | he |     N/A     |    "Perley D.A. et al. AIPC 937 526 (2007)"   
GRB060418  |    1.49000    | ba |     N/A     |    "Dupree A.K. et al. GCN Circ. 4969; Vreeswijk P. et al. GCN Circ. 4974; Prochaska J.X. et al. GCN Circ. 5002; Piranomonte S. et al. NCimB 121 1561 (2006); *Vreeswijk P.M. et al. A&A 468 83 (2007)"   
GRB060319  |    1.172    | he |     N/A     |    "Perley D.A. et al. ApJ 778 128 (2013)"   
GRB060306  |    1.559    | he |    N/A    |    "Jakobsson P. et al. ApJ 752 62 (2012); Kruehler T. et al. ApJ 758 46 (2012); Perley D.A. et al. ApJ 778 128 (2013); Krühler et al. A&A 581 A125 (2015); *Schulze et al. ApJ 808 73 (2015)"   
GRB060223A  |    4.41    | ba |     N/A     |    "Berger E. et al. GCN Circ. 4815"   
GRB060218  |    0.03342    | he |     N/A     |    "Mirabal N. & Halpern J.P. GCN Circ. 4792; Masetti N. et al. GCN Circ. 4803; Soderberg A.M. et al. GCN Circ. 4804; Fatkhullin T.A. et al. GCN Circ. 4809; Foley R.J. et al. GCN Circ. 5376; Modjaz M. et al. ApJ 645 L21 (2006); Sollerman J. et al. A&A 454 503 (2006); *Pian E. et al. Nature 442 1011 (2006)"   
GRB060210  |    3.9122    | ba |     N/A     |    "Cucchiara A. et al. GCN Circ. 4729; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB060206  |    4.0559    | ba |     N/A     |    "Fynbo J.P.U. et al. GCN Circ. 4692; Prochaska J.X. et al. GCN Circ. 4701; Aoki K. et al. GCN Circ. 4703; Fynbo J.P.U. et al. A&A 451 L47 (2006); Thoene C.C. et al. A&A 489 37 (2008); *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB060202  |    0.783    | he |     N/A     |    "Butler N.R. ApJ 656 1001 (2007); Perley D.A. et al. ApJ 778 128 (2013)"   
GRB060124  |    2.3000    | ba |     N/A     |    "Mirabal N. & Halpern J.P. GCN Circ. 4591; Cenko S.B. et al. GCN Circ. 4592; Prochaska J.X. et al. GCN Circ. 4593; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB060123  |    1.099 (ref 1), 0.193 (ref 1), 0.562 (ref 1), or 0.56 (ref 2) (?)    | he |    N/A    |    "Ref 1: Berger et al. GCN Circ. 4622; Ref 2: Preliminary Keck GRB Host Project (http://www.astro.caltech.edu/grbhosts/)"   
GRB060117  |    4.6    | bp |    +0.5 -0.5    |    "de Ugarte Postigo A. et al. ApJ 648 L83 (2006)"   
GRB060116  |    6.60    | bp |    +0.15 -0.15    |    "Grazian A. et al. GCN Circ. 4545"  
GRB060115  |    3.5328    | ba |     N/A     |    "Piranomonte S. et al. GCN Circ. 4520; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB060111A  |    2.32(?)    | "Host Lyman-alpha" |    N/A    |    "Preliminary Keck GRB Host Project (http://www.astro.caltech.edu/grbhosts/)"   
GRB060108  |    2.03    | bp |     0.67 N/A     |    "Melandri A. et al. GCN Circ. 4539"   
GRB051221A  |    0.5464    | he |     N/A     |    "Berger E. & Soderberg A.M. GCN Circ. 4384; *Soderberg A.M. et al. ApJ 650 261 (2006)"   
GRB051117B  |    0.481    | he |     N/A     |    "Jakobsson P. et al. ApJ 752 62 (2012)"   
GRB051111  |    1.54948    | ba |     N/A     |    "Hill G. et al. GCN Circ. 4255; *Penprase B.E. et al. ApJ 646 358 (2006)"   
GRB051109B  |    0.080    | he |     N/A     |    "Perley D.A. et al. GCN Circ. 5387"   
GRB051109A  |    2.346    | ba |     N/A     |    "Quimby R. et al. GCN Circ. 4221"   
GRB051016B  |    0.9364    | he |     N/A     |    "Soderberg A.M. et al. GCN Circ. 4186"   
GRB051008  |    2.77    |   hp   |    +0.15 -0.20    |    "Perley D.A. et al. ApJ 778 128 (2013); *Volnova A.A. et al. MNRAS 442 2586 (2014)"   
GRB051006  |    1.059    | he |     N/A     |    "Jakobsson P. et al. ApJ 752 62 (2012)"   
GRB051001  |    2.4296    | he |     N/A     |    "Jakobsson P. et al. ApJ 752 62 (2012); *Kruehler T. et al. ApJ 758 46 (2012)"   
GRB050922C  |    2.1995    | ba |     N/A     |    "Jakobsson P. et al. GCN Circ. 4029; Piranomonte S. et al. GCN Circ. 4032; D'Elia V. et al. GCN Circ. 4044; Jakobsson P. et al. A&A 460 L13 (2006); Piranomonte S. et al. NCimB 121 1561 (2006); Fox A.J. et al. A&A 491 189 (2008); *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB050922B  |    4.5     | he |    +0.5 -0.5    |    "*Schulze et al. ApJ 808 73 (2015)"   
GRB050915A  |    2.5273    | he |     N/A     |    "Jakobsson P. et al. ApJ 752 62 (2012); *Kruehler T. et al. ApJ 758 46 (2012)"   
GRB050908  |    3.3467    | ba |     N/A     |    "Fugazza D. et al. GCN Circ. 3948; Foley R.J. et al. GCN Circ. 3949; Prochaska J.X. et al. GCN Circ. 3971; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB050904  |    6.295    | ba |     N/A     |    "Kawai N. et al. GCN Circ. 3937; *Kawai N. et al. Nature 440 184 (2006)"   
GRB050826  |    0.296    | he |     N/A     |    "Halpern J.P. & Mirabal N. GCN Circ. 5982; *Mirabal N. et al. ApJ 661 L127 (2007)"   
GRB050824  |    0.8278    | ba |     N/A     |    "Fynbo J.P.U. et al. GCN Circ. 3874; Sollerman J. et al. A&A 466 839 (2007); *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB050822  |    1.434    | he |     N/A     |    "Jakobsson P. et al. ApJ 752 62 (2012)"   
GRB050820A  |    2.6147    | ba |     N/A     |    "Prochaska J.X. et al. GCN Circ. 3833; Ledoux C. et al. GCN Circ. 3860; *Fox A.J. et al. A&A 491 189 (2008); *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB050819  |    2.5043    | he |     N/A     |    "Kruehler T. et al. ApJ 758 46 (2012)"   
GRB050814  |    5.3    | bp |     +0.3 -0.3     |    "Jakobsson P. et al. AIPC 836 552 (2006)"   
GRB050813  |    0.722    | he |     N/A     |   "Berger E. GCN Circ. 3801; Foley R.J. et al. GCN Circ. 3808; Prochaska J.X. et al. ApJ 642 989 (2006)"   
GRB050803  |    3.5       | he |    +0.5 -0.5    |    "*Schulze et al. ApJ 808 73 (2015)"   
GRB050802  |    1.7102    | ba |     N/A     |    "Fynbo J.P.U. et al. GCN Circ. 3749; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB050801  |    1.38    |   hp   |    +0.07 -0.07     |    "Oates S. R. et al. MNRAS 395 490 (2009); *Schulze et al. ApJ 808 73 (2015)"   
GRB050730  |    3.9693    | ba |     N/A     |   "Chen H.-W. et al. GCN Circ. 3709; Rol E. et al. GCN Circ. 3710; Holman M. et al. GCN Circ. 3716; Prochaska J.X. et al. GCN Circ. 3732; Starling R.L.C. et al. A&A 442 L21 (2005); Chen H.-W. et al. ApJ 634 L25 (2005); Piranomonte S. et al. NCimB 121 1561 (2006); D'Elia V. et al. A&A 467 629 (2007); Fox A.J. et al. A&A 491 189 (2008); Ledoux C. et al. A&A 506 661 (2009); *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB050726  |    0.1646    | he |     N/A     |    "Berger E. et al. ApJ 660 496 (2007)"   
GRB050724  |    0.257    | ba |     N/A     |    "Prochaska J.X. et al. GCN Circ. 3700; *Berger E. et al. Nature 438 988 (2005)"   
GRB050714B  |    2.438    | he |     N/A     |    "Krühler et al. A&A 581 A125 (2015); *Schulze et al. ApJ 808 73 (2015)"   
GRB050603  |    2.821    | he |     N/A     |    "Berger E. & Becker G. GCN Circ. 3520"   
GRB050525A  |    0.606    | ba |     N/A     |    "Foley R.J. et al. GCN Circ. 3483; *Della Valle M. et al. ApJ 642 L103 (2006)"   
GRB050509B  |    0.2249    | he |     N/A     |    "Prochaska J.X. et al. GCN Circ. 3399"   
GRB050505  |    4.2748    | ba |     N/A     |    "Berger E. et al. GCN Circ. 3368; *Berger E. et al. ApJ 642 979 (2006)"   
GRB050502B  |    5.2    |   hp   |    +0.3 -0.3    |    "Afonso P. et al. A&A 526 A154 (2011); *Schulze et al. ApJ 808 73 (2015)"   
GRB050416A  |    0.6528    | he |     N/A     |    "Cenko S.B. et al. GCN Circ. 3542; *Soderberg A.M. et al. ApJ 661 982 (2007)"   
GRB050406  |    2.7    |   hp   |    +0.29 -0.41     |    "Schady P. et al. ApJ 643 276; *Schulze et al. ApJ 808 73 (2015)"   
GRB050401  |    2.8983    | ba |     N/A     |    "Fynbo J.P.U. et al. GCN Circ. 3176; Watson D. et al. ApJ 752 1011 (2006); *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB050319  |    3.2425    | ba |     N/A     |    "Fynbo J.P.U. et al. GCN Circ. 3136; Jakobsson P. et al. A&A 460 L13 (2006); *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB050318  |    1.4436    | ba |     N/A     |    "Berger E. et al. GCN Circ. 3122; *Berger E. et al. ApJ 634 501 (2005)"   
GRB050315  |    1.9500    | ba |     N/A     |    "Kelson D. & Berger E. GCN Circ. 3101; *Berger E. et al. ApJ 634 501 (2005)"   
GRB050223  |    0.584    | he |     N/A     |    "Berger E. et al. GCN Circ. 5283; *Pellizza L.J. et al. A&A 459 L5 (2006)"   
GRB050219A  |    0.2115    | he |     N/A     |    "Rossi A. et al. in preparation (2014)"   
GRB050215B  |    2.52    | "Host Ly-alpha" |    N/A    |    "Preliminary Keck GRB Host Project (http://www.astro.caltech.edu/grbhosts/)"   
GRB050126  |    1.29    | he |     N/A     |    "Berger E. et al. GCN Circ. 3088"   
