#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## Trig_time_met: The BAT trigger time shown in the Swift machine time (MET), in unit of sec.
## T100_start: The start time of T100, relative to the BAT trigger time, in unit of sec.
## T100_stop: The end time of T100, relative to the BAT trigger time, in unit of sec.
## T90_start: The start time of T90, relative to the BAT trigger time, in unit of sec.
## T90_stop: The end time of T90, relative to the BAT trigger time, in unit of sec.
## T50_start: The start time of T50, relative to the BAT trigger time, in unit of sec.
## T50_stop: The end time of T50, relative to the BAT trigger time, in unit of sec.
## 1s_peak_start: The start time of 1-s peak, relative to the BAT trigger time, in unit of sec.
## 1s_peak_stop: The end time of 1-s peak, relative to the BAT trigger time, in unit of sec.
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | Trig_time_met | T100_start | T100_stop | T90_start | T90_stop | T50_start | T50_stop | 1s_peak_start | 1s_peak_stop 
GRB200115A   |    949361    | 600781848.000000 | -122.904000 | 231.188000 | -54.352000 | 187.788000 | 56.268000 | 120.336000 | 99.748000 | 100.748000 |
GRB200109A   |    948361    | 600227200.448000 | -31.448000 | 112.552000 | -31.448000 | 80.552000 | -15.448000 | 16.552000 | 8.052000 | 9.052000 |
GRB200107B   |    948219    | 600118012.928000 | -29.856000 | 77.036000 | -21.840000 | 64.836000 | 1.076000 | 36.128000 | 36.092000 | 37.092000 |
GRB191228A   |    946476    | 599184104.000000 | -39.348000 | 191.284000 | -31.964000 | 161.852000 | 1.516000 | 117.888000 | 54.592000 | 55.592000 |
GRB191227A   |    946344    | 599103601.728000 | -30.560000 | 105.920000 | -13.968000 | 41.920000 | 1.440000 | 11.232000 | 5.268000 | 6.268000 |
GRB191221B   |    945521    | 598653577.280000 | -15.280000 | 96.720000 | -15.280000 | 32.720000 | -15.280000 | 0.720000 | 8.220000 | 9.220000 |
GRB191220A   |    945344    | 598541401.920000 | -2.464000 | 248.416000 | -0.384000 | 175.200000 | 7.296000 | 47.216000 | 6.692000 | 7.692000 |
GRB191218A   |    944916    | 598329787.968000 | -0.232000 | 46.032000 | 0.544000 | 45.208000 | 3.116000 | 40.696000 | 0.664000 | 1.664000 |
GRB191213A   |    944091    | 597902808.000000 | -33.524000 | 111.068000 | -19.024000 | 99.968000 | 6.828000 | 73.580000 | 99.948000 | 100.948000 |
GRB191130A   |  03110538005 | 596811926.376000 | 0.000000 | 22.052000 | 2.080000 | 19.640000 | 6.320000 | 12.324000 | 6.176000 | 7.176000 |
GRB191123A   |    939079    | 596198348.288000 | -3.048000 | 335.968000 | -1.032000 | 283.780000 | 9.212000 | 156.912000 | 111.784000 | 112.784000 |
GRB191122A   |    938899    | 596122400.384000 | -11.120000 | 196.104000 | -6.520000 | 119.216000 | 1.620000 | 35.132000 | 6.444000 | 7.444000 |
GRB191106A   |    933515    | 594742547.776000 | -1.356000 | 2.380000 | -1.252000 | 2.184000 | -0.008000 | 1.640000 | -0.048000 | 0.952000 |
GRB191101A   |    932742    | 594335307.200000 | -21.244000 | 143.504000 | -16.480000 | 126.228000 | 0.424000 | 68.432000 | -0.992000 | 0.008000 |
GRB191031D   |    932608    | 594249834.976000 | -0.032000 | 0.308000 | -0.020000 | 0.268000 | 0.016000 | 0.160000 | -0.360000 | 0.640000 |
GRB191031C   |    932595    | 594240258.752000 | -37.984000 | 66.492000 | -33.240000 | 45.260000 | -5.388000 | 12.876000 | 4.036000 | 5.036000 |
